iter	Passed	Remaining
0	69	69003
1	70	35402
2	73	24346
3	74	18578
4	76	15149
5	77	12889
6	79	11270
7	81	10130
8	83	9181
9	85	8427
10	86	7791
11	88	7256
12	89	6795
13	91	6446
14	94	6235
15	97	5998
16	99	5756
17	103	5633
18	106	5477
19	107	5281
20	109	5098
21	110	4931
22	112	4780
23	115	4678
24	116	4541
25	118	4425
26	119	4308
27	121	4214
28	122	4115
29	124	4023
30	125	3934
31	127	3853
32	128	3777
33	130	3705
34	131	3635
35	133	3572
36	134	3509
37	136	3449
38	139	3430
39	140	3375
40	142	3328
41	144	3288
42	145	3242
43	147	3198
44	148	3153
45	150	3113
46	151	3075
47	153	3047
48	155	3011
49	156	2971
50	157	2935
51	159	2900
52	160	2869
53	162	2839
54	163	2813
55	165	2785
56	166	2757
57	169	2752
58	171	2731
59	172	2705
60	174	2680
61	175	2656
62	177	2632
63	178	2610
64	179	2586
65	181	2564
66	182	2545
67	184	2528
68	186	2510
69	187	2490
70	189	2473
71	190	2457
72	192	2440
73	193	2423
74	195	2405
75	196	2388
76	197	2371
77	199	2357
78	200	2342
79	202	2327
80	203	2314
81	205	2299
82	206	2284
83	208	2270
84	209	2257
85	211	2244
86	212	2231
87	214	2220
88	215	2207
89	217	2195
90	218	2184
91	220	2172
92	221	2161
93	223	2149
94	224	2137
95	225	2125
96	227	2114
97	228	2103
98	230	2093
99	231	2084
100	233	2075
101	234	2065
102	236	2058
103	237	2048
104	239	2038
105	240	2029
106	242	2020
107	243	2012
108	245	2003
109	246	1994
110	248	1988
111	249	1981
112	251	1972
113	252	1965
114	254	1959
115	256	1952
116	257	1943
117	259	1938
118	260	1930
119	262	1922
120	263	1915
121	264	1906
122	266	1898
123	267	1891
124	269	1884
125	270	1877
126	272	1870
127	274	1872
128	276	1866
129	277	1860
130	279	1854
131	281	1847
132	282	1843
133	284	1836
134	285	1831
135	287	1825
136	288	1819
137	290	1813
138	291	1806
139	293	1800
140	294	1794
141	295	1787
142	297	1782
143	299	1777
144	300	1773
145	302	1770
146	304	1768
147	306	1766
148	308	1763
149	310	1759
150	312	1754
151	314	1752
152	315	1748
153	317	1744
154	319	1740
